LOGIN;DATE;AVERAGE;IN ACTIVE;IN IDLE;OUT ACTIVE;OUT IDLE
abdell_s;2014/11/24;23116,69;20105,71;5,43;0;0
abonne_a;2014/11/24;23116,69;13534,86;63,14;7094;0
aime_q;2014/11/24;23116,69;15915;390,86;161,71;0
aknin_k;2014/11/24;23116,69;6501,86;0;10662;0
akpaki_r;2014/11/24;23116,69;7998,86;307,29;0;0
alami_a;2014/11/24;23116,69;21714,57;3,86;165,43;0
alario_c;2014/11/24;23116,69;13269;870,71;323,57;0
amice_g;2014/11/24;23116,69;9499,86;175,14;5698,86;0
amusin_t;2014/11/24;23116,69;12654,86;0;1454;0
arce_c;2014/11/24;23116,69;19755,14;60,29;1084,57;0
arnoux_c;2014/11/24;23116,69;9818;2,57;0;0
auzera_b;2014/11/24;23116,69;0;0;0;0
ayasch_d;2014/11/24;23116,69;19089,29;329;428,71;0
bakri_m;2014/11/24;23116,69;16131,43;15,29;328;0
banget_d;2014/11/24;23116,69;5427,71;0;20941,29;15452,43
baradj_m;2014/11/24;23116,69;21637,43;0;25179,14;0
barthe_g;2014/11/24;23116,69;14827;0;0;0
barua_a;2014/11/24;23116,69;11112;0;3563,71;0
baud_m;2014/11/24;23116,69;10333,29;89,43;323,29;0
baudel_w;2014/11/24;23116,69;11859,29;0;422,86;0
baudin_r;2014/11/24;23116,69;11000,86;0,43;0;0
bauer_a;2014/11/24;23116,69;20762;13,29;3394,71;0
bayoud_a;2014/11/24;23116,69;0;0;0;0
beaude_t;2014/11/24;23116,69;9581,86;0,29;520,29;0
beauvo_a;2014/11/24;23116,69;12712,57;507;0;0
bebe-b_h;2014/11/24;23116,69;9032,71;0;5864,57;0
beluch_y;2014/11/24;23116,69;4821,29;103,43;5854,29;0
belvo_n;2014/11/24;23116,69;27295,57;0;0;0
benama_w;2014/11/24;23116,69;11936,57;0;3942,86;0
benayo_i;2014/11/24;23116,69;13751,71;46,14;235;32,57
